entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,capital_after
181,184,16933.03,16936.87,0.02267757158642101,2.2677571586421013,10002.267757158643
214,215,17204.83,17178.26,-0.15443337713888103,-15.446839887853503,9986.820917270788
294,300,18852.68,18864.59,0.06317404209905358,6.309078450633737,9993.129995721421
302,319,18996.27,20897.36,10.007701511928396,1000.0826216707826,10993.212617392204
360,367,20966.58,21109.23,0.680368472111321,74.7943527209003,11068.006970113105
540,541,22910.74,22798.41,-0.49029407168865663,-54.26578202855186,11013.741188084554
543,547,22853.14,22792.47,-0.2654777417895232,-29.23903139266948,10984.502156691884
557,559,23118.17,23054.08,-0.27722782555884184,-30.452096477460998,10954.050060214424
696,697,23751.43,23670.08,-0.3425056933414053,-37.518245107702036,10916.531815106722
699,700,23701.44,23717.76,0.06885657580298796,7.516750004326258,10924.048565111048
701,702,23728.71,23692.38,-0.15310566819687252,-16.725337549764134,10907.323227561285
732,740,22895.15,23095.41,0.8746830660642031,95.40450923236604,11002.727736793651
764,773,23573.11,23804.61,0.9820511591385269,108.05241527603826,11110.78015206969
897,903,23011.79,22904.89,-0.46454447915612584,-51.61451578761435,11059.165636282076
936,938,22980.64,22806.76,-0.7566368908785875,-83.67772702747786,10975.487909254598
944,950,22720.65,22694.29,-0.11601780758913403,-12.733520444527668,10962.75438881007
988,994,21686.79,21670.32,-0.0759448493760541,-8.325647308048568,10954.42874150202
1032,1033,21811.28,21708.4,-0.4716825422441846,-51.67012797624437,10902.758613525777
1034,1040,21758.01,21720.67,-0.17161495927247092,-18.710764754178076,10884.0478487716
1052,1064,21662.68,21694.92,0.14882738423869052,16.198443712614235,10900.246292484213
1097,1110,22805.48,24586.08,7.807772517833443,851.0664344007412,11751.312726884955
1111,1112,24612.95,24580.34,-0.13249122921064146,-15.569458680236428,11735.743268204718
1213,1216,24855.25,24884.2,0.11647438669899006,13.669134996209458,11749.412403200928
1233,1234,24799.99,24702.72,-0.39221790008786467,-46.08329860049779,11703.32910460043
1236,1237,24634.0,24569.8,-0.2606154095964956,-30.50067908238029,11672.82842551805
1238,1239,24684.93,24558.09,-0.5138357694350364,-59.97916775509232,11612.849257762957
1251,1252,24201.85,24155.23,-0.1926299022595338,-22.369820174775782,11590.479437588181
1336,1338,23012.55,22979.3,-0.14448637808500145,-16.746663942058007,11573.732773646123
1339,1340,22983.05,22922.58,-0.26310694185496497,-30.451294359206127,11543.281479286918
1404,1411,23454.54,23264.36,-0.8108451498089508,-93.59813800359288,11449.683341283324
1444,1445,23536.33,23445.71,-0.38502179396703995,-44.083776204154375,11405.59956507917
1510,1518,22305.98,22415.73,0.49202052543757324,56.1178909094081,11461.717455988579
1584,1588,22245.86,22141.79,-0.4678173826500738,-53.61990660935239,11408.097549379227
1684,1685,20386.99,20354.68,-0.15848342496857706,-18.079943720012505,11390.017605659214
1687,1693,20346.71,20383.95,0.183027133133571,20.846822687047066,11410.86442834626
1801,1814,25666.59,26283.0,2.4016045762214606,274.04384229759063,11684.908270643851
1880,1885,28313.85,27822.73,-1.7345574692244219,-202.68144918047514,11482.226821463377
1889,1891,27626.96,27785.1,0.5724118759356782,65.72562994792811,11547.952451411305
1900,1901,27906.81,27801.41,-0.37768559000473884,-43.61495234957949,11504.337499061727
1904,1910,27646.65,27887.98,0.8729086525853876,100.4223574519352,11604.759856513661
1912,1913,28343.92,27988.69,-1.2532846550512404,-145.44067453723207,11459.319181976429
1914,1916,28128.77,28077.28,-0.18305101858347023,-20.97640048533884,11438.34278149109
1952,1956,27632.02,27469.99,-0.5863849258939405,-67.07271784274143,11371.27006364835
1958,1962,28045.3,27903.8,-0.5045408678102926,-57.3727046601834,11313.897358988166
2041,2042,27879.16,27888.68,0.03414737029379808,3.8633984258339304,11317.760757414
2043,2044,27906.98,27715.18,-0.6872832531502845,-77.78507431732122,11239.97568309668
2138,2140,28168.41,28034.52,-0.4753196932308193,-53.42581793611382,11186.549865160567
2154,2155,28469.31,28391.8,-0.27225809125687284,-30.456287140384443,11156.093578020182
2213,2221,27779.48,27995.04,0.7759684486534713,86.56776626769273,11242.661344287875
2280,2281,28064.46,28039.73,-0.08811856704173024,-9.906872073941,11232.754472213934
2282,2283,28128.42,28068.91,-0.21156538476031858,-23.7646202183213,11208.989851995613
2324,2327,27891.13,27880.27,-0.03893711011350412,-4.364456721283035,11204.62539527433
2380,2381,28282.16,28277.94,-0.014921066849212237,-1.6718496454326937,11202.953545628898
2382,2387,28284.57,28277.86,-0.02372318193276096,-2.6576970514722382,11200.295848577425
2389,2404,28305.43,29883.84,5.576350544754133,624.5677585662218,11824.863607143647
2448,2453,30065.13,30016.54,-0.1616157987675428,-19.11084777185768,11805.75275937179
2480,2481,30794.16,30766.01,-0.09141343683348224,-10.792044341405418,11794.960715030384
2482,2483,30801.89,30616.98,-0.6003203050202435,-70.8075441414883,11724.153170888896
2517,2518,30350.98,30295.09,-0.18414561902119608,-21.589514431526545,11702.563656457369
2564,2566,29452.22,29430.27,-0.07452748892952968,-8.72162683353743,11693.842029623831
2572,2584,29542.14,30025.51,1.636205095500864,191.3352391485268,11885.177268772357
2688,2689,27551.15,27592.02,0.148342265204897,17.630741184114424,11902.808009956472
2691,2692,27605.82,27585.14,-0.07491173962592051,-8.916600544591804,11893.89140941188
2693,2697,27588.14,27527.61,-0.21940587513329582,-26.09589653422403,11867.795512877658
2724,2726,27624.25,27267.05,-1.2930667800935798,-153.45852130645747,11714.3369915712
2728,2729,27381.49,27339.9,-0.15189093069807427,-17.79301548160629,11696.543976089593
2730,2736,27383.29,27403.24,0.07285464967869357,8.521476138294409,11705.065452227887
2760,2778,28392.01,27884.24,-1.7884256873676674,-209.33639727084196,11495.729054957046
2908,2909,28000.01,27999.1,-0.0032499988392856094,-0.3736110608535226,11495.355443896193
2910,2912,28057.47,27983.2,-0.26470668951976223,-30.42897484406738,11464.926469052125
2933,2937,28600.02,28573.49,-0.09276217289358132,-10.6351149133441,11454.29135413878
3052,3053,28260.47,28170.75,-0.31747525784249575,-36.36454101058279,11417.926813128199
3056,3057,27914.94,27936.14,0.07594499576212856,8.671344034353151,11426.598157162553
3060,3063,27855.78,27867.2,0.04099687748826955,4.684548447568798,11431.282705610121
3072,3075,27701.39,27608.96,-0.3336655669625253,-38.142254250763116,11393.140451359359
